
Platform: espressif32
================================================================================
ID                                   MCU      Frequency    Flash    RAM     Name
freenove-esp32-s3-n8r8               ESP32S3  240MHz       8MB      320KB   Freenove ESP32-S3 WROOM N8R8 (8MB Flash / 8MB PSRAM)
freenove_esp32_s3_wroom              ESP32S3  240MHz       8MB      320KB   Freenove ESP32-S3 WROOM N8R8 (8MB Flash / 8MB PSRAM)
freenove_esp32_wrover                ESP32    240MHz       4MB      320KB   Freenove ESP32-Wrover
frogboard                            ESP32    240MHz       4MB      320KB   Frog Board ESP32
healthypi4                           ESP32    240MHz       4MB      320KB   ProtoCentral HealthyPi 4
heltec_wifi_kit_32                   ESP32    240MHz       4MB      320KB   Heltec WiFi Kit 32
heltec_wifi_kit_32_V3                ESP32S3  240MHz       8MB      320KB   Heltec WiFi Kit 32 (V3)
heltec_wifi_kit_32_v2                ESP32    240MHz       8MB      320KB   Heltec WiFi Kit 32 (V2)
heltec_wifi_lora_32                  ESP32    240MHz       4MB      320KB   Heltec WiFi LoRa 32
heltec_wifi_lora_32_V2               ESP32    240MHz       8MB      320KB   Heltec WiFi LoRa 32 (V2)
heltec_wifi_lora_32_V3               ESP32S3  240MHz       8MB      320KB   Heltec WiFi LoRa 32 (V3)
heltec_wireless_stick                ESP32    240MHz       8MB      320KB   Heltec Wireless Stick
heltec_wireless_stick_lite           ESP32    240MHz       4MB      320KB   Heltec Wireless Stick Lite
honeylemon                           ESP32    240MHz       4MB      320KB   HONEYLemon
hornbill32dev                        ESP32    240MHz       4MB      320KB   Hornbill ESP32 Dev
hornbill32minima                     ESP32    240MHz       4MB      320KB   Hornbill ESP32 Minima
huidu_hd_wf2                         ESP32S3  240MHz       8MB      320KB   Huidu HD-WF2
huidu_hd_wf4                         ESP32S3  240MHz       8MB      320KB   Huidu HD-WF4
imbrios-logsens-v1p1                 ESP32    240MHz       4MB      320KB   Imbrios LogSens V1P1
inex_openkb                          ESP32    240MHz       4MB      320KB   INEX OpenKB
intorobot                            ESP32    240MHz       4MB      320KB   IntoRobot Fig
iotaap_magnolia                      ESP32    240MHz       4MB      320KB   IoTaaP Magnolia
iotbusio                             ESP32    240MHz       4MB      320KB   oddWires IoT-Bus Io
iotbusproteus                        ESP32    240MHz       4MB      320KB   oddWires IoT-Bus Proteus
ioxesp32                             ESP32    240MHz       4MB      320KB   ArtronShop IOXESP32
ioxesp32ps                           ESP32    240MHz       4MB      320KB   ArtronShop IOXESP32PS
jczn_2432s028r                       ESP32    240MHz       4MB      320KB   ESP32-2432S028R CYD
kb32-ft                              ESP32    240MHz       4MB      320KB   MakerAsia KB32-FT
kits-edu                             ESP32    240MHz       4MB      320KB   KITS ESP32 EDU
labplus_mpython                      ESP32    240MHz       4MB      320KB   Labplus mPython
lilka_v2                             ESP32S3  240MHz       16MB     320KB   Lilka v2
lilygo-t-display-s3                  ESP32S3  240MHz       16MB     320KB   LilyGo T-Display-S3
lilygo-t-display                     ESP32    240MHz       4MB      320KB   LilyGo T-Display
lilygo-t3-s3                         ESP32S3  240MHz       4MB      320KB   LilyGo T3-S3
lionbit                              ESP32    240MHz       4MB      320KB   Lion:Bit Dev Board
lionbits3                            ESP32S3  240MHz       4MB      320KB   Lion:Bit S3 STEM Dev Board
lolin32                              ESP32    240MHz       4MB      320KB   WEMOS LOLIN32
lolin32_lite                         ESP32    240MHz       4MB      320KB   WEMOS LOLIN32 Lite
lolin_c3_mini                        ESP32C3  160MHz       4MB      320KB   WEMOS LOLIN C3 Mini
lolin_d32                            ESP32    240MHz       4MB      320KB   WEMOS LOLIN D32
lolin_d32_pro                        ESP32    240MHz       4MB      320KB   WEMOS LOLIN D32 PRO
lolin_s2_mini                        ESP32S2  240MHz       4MB      320KB   WEMOS LOLIN S2 Mini
lolin_s2_pico                        ESP32S2  240MHz       4MB      320KB   WEMOS LOLIN S2 PICO
lolin_s3                             ESP32S3  240MHz       16MB     320KB   WEMOS LOLIN S3
lolin_s3_mini                        ESP32S3  240MHz       4MB      320KB   WEMOS LOLIN S3 Mini
lolin_s3_mini_pro                    ESP32S3  240MHz       4MB      320KB   WEMOS LOLIN S3 Mini Pro
lolin_s3_pro                         ESP32S3  240MHz       16MB     320KB   WEMOS LOLIN S3 PRO
lopy                                 ESP32    240MHz       4MB      320KB   Pycom LoPy
lopy4                                ESP32    240MHz       4MB      1.25MB  Pycom LoPy4
m5stack-atom                         ESP32    240MHz       4MB      320KB   M5Stack-ATOM
m5stack-atoms3                       ESP32S3  240MHz       8MB      320KB   M5Stack AtomS3
m5stack-atoms3u                      ESP32S3  240MHz       8MB      320KB   M5Stack AtomS3U
m5stack-core-esp32-16M               ESP32    240MHz       16MB     520KB   M5Stack Core ESP32 16M
m5stack-core-esp32                   ESP32    240MHz       4MB      320KB   M5Stack Core ESP32
m5stack-core2                        ESP32    240MHz       16MB     4.31MB  M5Stack Core2
m5stack-coreink                      ESP32    240MHz       4MB      320KB   M5Stack-Core Ink
m5stack-cores3                       ESP32S3  240MHz       16MB     320KB   M5Stack CoreS3
m5stack-fire                         ESP32    240MHz       16MB     4.31MB  M5Stack FIRE
m5stack-grey                         ESP32    240MHz       16MB     520KB   M5Stack GREY ESP32
m5stack-stamps3                      ESP32S3  240MHz       8MB      320KB   M5Stack StampS3
m5stack-station                      ESP32    240MHz       16MB     4.31MB  M5Stack Station
m5stack-timer-cam                    ESP32    240MHz       4MB      320KB   M5Stack Timer CAM
m5stack_paper                        ESP32    240MHz       16MB     4.31MB  M5Stack Paper
m5stamp-pico                         ESP32    240MHz       4MB      320KB   M5Stamp-Pico
m5stick-c                            ESP32    240MHz       4MB      320KB   M5Stick-C
magicbit                             ESP32    240MHz       4MB      320KB   MagicBit
mgbot-iotik32a                       ESP32    240MHz       4MB      320KB   MGBOT IOTIK 32A
mgbot-iotik32b                       ESP32    240MHz       4MB      320KB   MGBOT IOTIK 32B
mhetesp32devkit                      ESP32    240MHz       4MB      320KB   MH ET LIVE ESP32DevKIT
mhetesp32minikit                     ESP32    240MHz       4MB      320KB   MH ET LIVE ESP32MiniKit
microduino-core-esp32                ESP32    240MHz       4MB      320KB   Microduino Core ESP32
micros2                              ESP32S2  240MHz       16MB     320KB   microS2
minimain_esp32s2                     ESP32S2  240MHz       4MB      320KB   Deparment of Alchemy MiniMain ESP32-S2
motorgo_mini_1                       ESP32S3  240MHz       4MB      320KB   MotorGo Mini 1 (ESP32-S3)
namino_arancio                       ESP32S3  240MHz       4MB      320KB   Namino Arancio
namino_rosso                         ESP32S3  240MHz       4MB      320KB   Namino Rosso
nano32                               ESP32    240MHz       4MB      320KB   MakerAsia Nano32
nebulas3                             ESP32S3  240MHz       4MB      320KB   Kinetic Dynamics Nebula S3
nina_w10                             ESP32    240MHz       2MB      320KB   u-blox NINA-W10 series
node32s                              ESP32    240MHz       4MB      320KB   Node32s
nodemcu-32s                          ESP32    240MHz       4MB      320KB   NodeMCU-32S
nodemcu-32s2                         ESP32S2  240MHz       4MB      320KB   Ai-Thinker NodeMCU-32S2 (ESP-12K)
nologo_esp32c3_super_mini            ESP32C3  160MHz       4MB      320KB   Nologo ESP32C3 SuperMini
nscreen-32                           ESP32    240MHz       16MB     320KB   YeaCreate NSCREEN-32
odroid_esp32                         ESP32    240MHz       16MB     320KB   ODROID-GO
onehorse32dev                        ESP32    240MHz       4MB      320KB   Onehorse ESP32 Dev Module
oroca_edubot                         ESP32    240MHz       4MB      320KB   OROCA EduBot
pico32                               ESP32    240MHz       4MB      320KB   ESP32 Pico Kit
piranha_esp32                        ESP32    240MHz       4MB      320KB   Fishino Piranha ESP-32
pocket_32                            ESP32    240MHz       4MB      320KB   Dongsen Tech Pocket 32
pycom_gpy                            ESP32    240MHz       4MB      320KB   Pycom GPy
qchip                                ESP32    240MHz       4MB      320KB   Qchip
quantum                              ESP32    240MHz       16MB     320KB   Noduino Quantum
redpill_esp32s3                      ESP32S3  240MHz       8MB      320KB   Munich Labs RedPill ESP32-S3
roboheart_hercules                   ESP32    240MHz       4MB      320KB   RoboHeart Hercules
rymcu-esp32-s3-devkitc-1             ESP32S3  240MHz       8MB      320KB   RYMCU ESP32-S3-DevKitC-1-N8R2 (8 MB QD, 2 MB PSRAM)
s_odi_ultra                          ESP32    240MHz       4MB      320KB   S.ODI Ultra v1
seeed_xiao_esp32c3                   ESP32C3  160MHz       4MB      320KB   Seeed Studio XIAO ESP32C3
seeed_xiao_esp32c6                   ESP32C6  160MHz       4MB      320KB   Seeed Studio XIAO ESP32C6
seeed_xiao_esp32s3                   ESP32S3  240MHz       8MB      320KB   Seeed Studio XIAO ESP32S3
sensebox_mcu_esp32s2                 ESP32S2  240MHz       4MB      320KB   senseBox MCU-S2 ESP32-S2
sensesiot_weizen                     ESP32    240MHz       4MB      320KB   LOGISENSES Senses Weizen
sg-o_airMon                          ESP32    240MHz       4MB      320KB   SG-O AirMon
sparkfun_esp32_iot_redboard          ESP32    240MHz       4MB      320KB   SparkFun ESP32 IoT RedBoard
sparkfun_esp32c6_thing_plus          ESP32C6  160MHz       16MB     320KB   Sparkfun ESP32-C6 Thing Plus
sparkfun_esp32micromod               ESP32    240MHz       4MB      320KB   SparkFun ESP32 MicroMod
sparkfun_esp32s2_thing_plus          ESP32S2  240MHz       4MB      320KB   SparkFun ESP32-S2 Thing Plus
sparkfun_esp32s2_thing_plus_c        ESP32    240MHz       16MB     320KB   SparkFun ESP32 Thing Plus C
sparkfun_esp32s3_thing_plus          ESP32S3  240MHz       4MB      320KB   SPARKFUN_ESP32S3_THING_PLUS
sparkfun_lora_gateway_1-channel      ESP32    240MHz       4MB      320KB   SparkFun LoRa Gateway 1-Channel
sparkfun_pro_micro_esp32c3           ESP32C3  160MHz       4MB      320KB   SparkFun Pro Micro ESP32-C3
sparkfun_qwiic_pocket_esp32c6        ESP32C6  160MHz       4MB      320KB   SparkFun ESP32-C6 Qwiic Pocket
tamc_termod_s3                       ESP32S3  240MHz       8MB      320KB   TAMC Termod S3
tinypico                             ESP32    240MHz       4MB      320KB   Unexpected Maker TinyPICO
trueverit-iot-driver-mk2             ESP32    240MHz       4MB      320KB   Trueverit ESP32 Universal IoT Driver MK II
trueverit-iot-driver-mk3             ESP32    240MHz       4MB      320KB   Trueverit ESP32 Universal IoT Driver MK III
trueverit-iot-driver                 ESP32    240MHz       4MB      320KB   Trueverit ESP32 Universal IoT Driver
ttgo-lora32-v1                       ESP32    240MHz       4MB      320KB   TTGO LoRa32-OLED V1
ttgo-lora32-v2                       ESP32    240MHz       4MB      320KB   TTGO LoRa32-OLED V2
ttgo-lora32-v21                      ESP32    240MHz       4MB      320KB   TTGO LoRa32-OLED v2.1.6
ttgo-t-beam                          ESP32    240MHz       4MB      1.25MB  TTGO T-Beam
ttgo-t-oi-plus                       ESP32C3  160MHz       4MB      320KB   TTGO T-OI PLUS RISC-V ESP32-C3
ttgo-t-watch                         ESP32    240MHz       16MB     320KB   TTGO T-Watch
ttgo-t1                              ESP32    240MHz       4MB      320KB   TTGO T1
ttgo-t7-v13-mini32                   ESP32    240MHz       4MB      1.25MB  TTGO T7 V1.3 Mini32
ttgo-t7-v14-mini32                   ESP32    240MHz       4MB      1.25MB  TTGO T7 V1.4 Mini32
turta_iot_node                       ESP32    240MHz       4MB      320KB   Turta IoT Node
um_bling                             ESP32S3  240MHz       8MB      320KB   Unexpected Maker BLING!
um_edges3_d                          ESP32S3  240MHz       8MB      320KB   Unexpected Maker EDGES3[D]
um_feathers2                         ESP32S2  240MHz       16MB     320KB   Unexpected Maker FeatherS2
um_feathers2_neo                     ESP32S2  240MHz       4MB      320KB   Unexpected Maker FeatherS2 Neo
um_feathers3                         ESP32S3  240MHz       16MB     320KB   Unexpected Maker FeatherS3
um_feathers3_neo                     ESP32S3  240MHz       8MB      320KB   Unexpected Maker FeatherS3 Neo
um_nanos3                            ESP32S3  240MHz       8MB      320KB   Unexpected Maker NanoS3
um_omgs3                             ESP32S3  240MHz       8MB      320KB   Unexpected Maker OMGS3
um_pros3                             ESP32S3  240MHz       16MB     320KB   Unexpected Maker PROS3
um_rmp                               ESP32S2  240MHz       4MB      320KB   Unexpected Maker RMP
um_squixl                            ESP32S3  240MHz       8MB      320KB   Unexpected Maker SQUiXL
um_tinyc6                            ESP32C6  240MHz       8MB      320KB   Unexpected Maker TinyC6
um_tinys2                            ESP32S2  240MHz       4MB      320KB   Unexpected Maker TinyS2
um_tinys3                            ESP32S3  240MHz       8MB      320KB   Unexpected Maker TinyS3
unphone7                             ESP32    240MHz       4MB      320KB   unPhone 7
unphone8                             ESP32S3  240MHz       7.94MB   2.31MB  unPhone 8
unphone9                             ESP32S3  240MHz       7.94MB   8.31MB  unPhone 9
upesy_wroom                          ESP32    240MHz       4MB      320KB   uPesy ESP32 Wroom DevKit
upesy_wrover                         ESP32    240MHz       4MB      320KB   uPesy ESP32 Wrover DevKit
valtrack_v4_mfw_esp32_c3             ESP32C3  160MHz       4MB      320KB   Valetron Systems VALTRACK-V4MVF
valtrack_v4_vts_esp32_c3             ESP32C3  160MHz       4MB      320KB   Valetron Systems VALTRACK-V4VTS
vintlabs-devkit-v1                   ESP32    240MHz       4MB      320KB   VintLabs ESP32 Devkit
watchy                               ESP32    240MHz       4MB      320KB   SQFMI Watchy v2.0
waveshare_esp32_s3_zero              ESP32S3  240MHz       4MB      320KB   Waveshare ESP32-S3-Zero
waveshare_esp32s3_touch_lcd_128      ESP32S3  240MHz       16MB     320KB   Waveshare ESP32-S3-Touch-LCD-1.28 (16 MB QD, 2MB PSRAM)
weactstudio_esp32c3coreboard         ESP32C3  160MHz       384KB    400KB   WeAct Studio ESP32C3CoreBoard
wemos_d1_mini32                      ESP32    240MHz       4MB      320KB   WEMOS D1 MINI ESP32
wemos_d1_uno32                       ESP32    240MHz       4MB      320KB   WEMOS D1 R32
wemosbat                             ESP32    240MHz       4MB      320KB   WeMos WiFi and Bluetooth Battery
wesp32                               ESP32    240MHz       4MB      320KB   Silicognition wESP32
widora-air                           ESP32    240MHz       16MB     320KB   Widora AIR
wifiduino32                          ESP32    240MHz       4MB      320KB   Blinker WiFiduino32
wifiduino32c3                        ESP32C3  160MHz       4MB      320KB   Blinker WiFiduinoV2 (ESP32-C3)
wifiduino32s3                        ESP32S3  240MHz       8MB      320KB   Blinker WiFiduino32S3
wipy3                                ESP32    240MHz       4MB      1.25MB  Pycom WiPy3
ws_esp32_s3_matrix                   ESP32S3  240MHz       4MB      320KB   Waveshare ESP32-S3-Matrix
wt32-eth01                           ESP32    240MHz       4MB      320KB   Wireless-Tag WT32-ETH01 Ethernet Module
wt32-sc01-plus                       ESP32S3  240MHz       16MB     320KB   wt32-sc01-plus
xinabox_cw02                         ESP32    240MHz       4MB      320KB   XinaBox CW02
yb_esp32s3_amp_v2                    ESP32S3  240MHz       8MB      320KB   YelloByte YB-ESP32-S3-AMP (Rev.2)
yb_esp32s3_amp_v3                    ESP32S3  240MHz       8MB      320KB   YelloByte YB-ESP32-S3-AMP (Rev.3)
yb_esp32s3_drv                       ESP32S3  240MHz       8MB      320KB   YelloByte YB-ESP32-S3-DRV
yb_esp32s3_eth                       ESP32S3  240MHz       4MB      320KB   YelloByte YB-ESP32-S3-ETH
cezerio_dev_esp32c6                  ESP32C6  160MHz       4MB      320KB   cezerio dev ESP32C6
cezerio_mini_dev_esp32c6             ESP32C6  160MHz       4MB      320KB   cezerio mini dev ESP32C6
esp32-c6-devkitc-1                   ESP32C6  160MHz       8MB      320KB   Espressif ESP32-C6-DevKitC-1
esp32-c6-devkitm-1                   ESP32C6  160MHz       4MB      320KB   Espressif ESP32-C6-DevKitM-1
esp32-s3-devkitc-1-n16r8v            ESP32S3  240MHz       16MB     320KB   Espressif ESP32-S3-DevKitC-1-N16R8V (16 MB QD, 8MB PSRAM)
lilygo-t-display                     ESP32    240MHz       4MB      320KB   LilyGo T-Display
minimain_esp32s2                     ESP32S2  240MHz       4MB      320KB   Deparment of Alchemy MiniMain ESP32-S2
rymcu-esp32-c3-devkitm-1             ESP32C3  160MHz       4MB      320KB   RYMCU ESP32-C3-DevKitM-1
